image_id,flower_class,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,filename,file_size_kb,width_px,height_px,aspect_ratio,mode,format
0,daisy,841.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2334.0,3139.0,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,40.0,5.0,0.0,0.0,0.0,6320.0,35005.0,835.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2353.0,3131.0,2349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,32.0,9.0,0.0,0.0,0.0,6148.0,35177.0,13410.0,1528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5406.0,29832.0,daisy_flower_006.png,84.1357,224.0,224.0,1.0,RGB,PNG
1,daisy,739.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.0,3218.0,2549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,29.0,11.0,0.0,0.0,0.0,6177.0,34852.0,759.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.0,3312.0,2488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,37.0,31.0,9.0,0.0,0.0,0.0,6145.0,34884.0,11269.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5567.0,32056.0,daisy_flower_008.png,84.9033,224.0,224.0,1.0,RGB,PNG
2,lavender,723.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2359.0,3276.0,2435.0,0.0,0.0,0.0,536.0,1067.0,1138.0,0.0,0.0,0.0,296.0,1113.0,1153.0,263.0,0.0,0.0,0.0,5321.0,30406.0,727.0,86.0,0.0,0.0,0.0,3190.0,3260.0,1620.0,0.0,0.0,0.0,793.0,1111.0,837.0,0.0,0.0,0.0,588.0,1085.0,1068.0,0.0,0.0,0.0,8.0,36.0,36.0,4.0,0.0,0.0,0.0,5367.0,30360.0,1401.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644.0,3179.0,3247.0,0.0,0.0,0.0,261.0,1101.0,1118.0,261.0,0.0,0.0,0.0,5691.0,32112.0,lavender_flower_001.png,88.4219,224.0,224.0,1.0,RGB,PNG
3,lavender,818.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2473.0,3335.0,2415.0,0.0,0.0,0.0,506.0,1004.0,965.0,0.0,0.0,0.0,489.0,2091.0,2142.0,473.0,0.0,0.0,0.0,4873.0,28496.0,824.0,90.0,0.0,0.0,0.0,3269.0,3316.0,1638.0,0.0,0.0,0.0,741.0,983.0,751.0,0.0,0.0,0.0,1061.0,2038.0,2012.0,0.0,0.0,0.0,9.0,35.0,34.0,6.0,0.0,0.0,0.0,5060.0,28309.0,1504.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.0,3297.0,3304.0,0.0,0.0,0.0,264.0,962.0,990.0,259.0,0.0,0.0,0.0,5725.0,32090.0,lavender_flower_004.png,88.8867,224.0,224.0,1.0,RGB,PNG
4,lavender,838.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2522.0,3176.0,2413.0,0.0,0.0,0.0,1077.0,2114.0,2096.0,0.0,0.0,0.0,288.0,1123.0,1110.0,278.0,0.0,0.0,0.0,4919.0,28138.0,824.0,98.0,0.0,0.0,0.0,3258.0,3270.0,1583.0,0.0,0.0,0.0,1625.0,2115.0,1547.0,0.0,0.0,0.0,532.0,1091.0,1092.0,0.0,0.0,0.0,6.0,34.0,33.0,11.0,0.0,0.0,0.0,5016.0,28041.0,1499.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.0,3210.0,3269.0,0.0,0.0,0.0,528.0,2134.0,2070.0,555.0,0.0,0.0,0.0,5231.0,29876.0,lavender_flower_009.png,89.5117,224.0,224.0,1.0,RGB,PNG
5,lavender,898.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296.0,3187.0,2355.0,0.0,0.0,0.0,852.0,1840.0,1835.0,0.0,0.0,0.0,530.0,2087.0,2317.0,524.0,0.0,0.0,0.0,4726.0,26637.0,906.0,84.0,0.0,0.0,0.0,3144.0,3095.0,1599.0,0.0,0.0,0.0,1323.0,1817.0,1387.0,0.0,0.0,0.0,1068.0,2185.0,2121.0,0.0,0.0,0.0,9.0,37.0,28.0,10.0,0.0,0.0,0.0,4634.0,26729.0,1560.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.0,3110.0,3161.0,0.0,0.0,0.0,475.0,1781.0,1786.0,485.0,0.0,0.0,0.0,5511.0,30561.0,lavender_flower_016.png,90.0205,224.0,224.0,1.0,RGB,PNG
6,rose,894.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,42.0,29.0,8.0,0.0,0.0,0.0,7344.0,41755.0,9941.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2261.0,3067.0,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,36.0,9.0,0.0,0.0,0.0,4684.0,26647.0,10638.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2338.0,3072.0,2278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4481.0,26185.0,rose_flower_002.png,83.6455,224.0,224.0,1.0,RGB,PNG
7,rose,745.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,1147.0,1121.0,287.0,0.0,0.0,0.0,7027.0,39498.0,10606.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,1097.0,821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,29.0,10.0,0.0,0.0,0.0,5358.0,30209.0,11302.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,1112.0,793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5175.0,29727.0,rose_flower_005.png,81.9863,224.0,224.0,1.0,RGB,PNG
8,sunflower,888.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.0,6189.0,6169.0,1551.0,0.0,0.0,0.0,5012.0,28652.0,898.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3105.0,6189.0,6137.0,0.0,0.0,0.0,202.0,853.0,904.0,201.0,0.0,0.0,0.0,4720.0,26868.0,17307.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4611.0,26312.0,sunflower_flower_000.png,87.8252,224.0,224.0,1.0,RGB,PNG
9,sunflower,742.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0,2210.0,1638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1099.0,1152.0,274.0,0.0,0.0,0.0,6157.0,34978.0,738.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.0,2209.0,1633.0,0.0,0.0,0.0,561.0,1108.0,1072.0,0.0,0.0,0.0,557.0,2234.0,2210.0,565.0,0.0,0.0,0.0,5328.0,30325.0,13703.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5279.0,29709.0,sunflower_flower_011.png,86.1104,224.0,224.0,1.0,RGB,PNG
